anos,sigla_uf,sigla_partido
1994,AC,PPR
1998,AC,PT
2002,AC,PT
2006,AC,PT
2010,AC,PT
2014,AC,PT
2018,AC,PP
1994,AM,PPR
1998,AM,PFL
2002,AM,PPS
2006,AM,PMDB
2010,AM,PMN
2014,AM,PROS
2018,AM,PSC
1994,AP,PSB
1998,AP,PSB
2002,AP,PDT
2006,AP,PDT
2010,AP,PSB
2014,AP,PDT
2018,AP,PDT
1994,MA,PFL
1998,MA,PFL
2002,MA,PFL
2006,MA,PDT
2010,MA,PMDB
2014,MA,PC do B
2018,MA,PC do B
1998,MT,PSDB
2002,MT,PPS
2006,MT,PPS
2010,MT,PMDB
2014,MT,PDT
1998,PA,PSDB
2002,PA,PSDB
2006,PA,PT
2010,PA,PSDB
2014,PA,PSDB
2018,PA,MDB
1998,RO,PFL
2002,RO,PSDB
2006,RO,PPS
2010,RO,PMDB
2014,RO,PMDB
2018,RO,PSL
1994,RR,PTB
1998,RR,PPB
2002,RR,PSL
2006,RR,PSDB
2010,RR,PSDB
2014,RR,PP
2018,RR,PSL
1994,TO,PPR
1998,TO,PFL
2002,TO,PFL
2006,TO,PMDB
2010,TO,PSDB
2014,TO,PMDB
2018,TO,PHS
